"Image Name","PID","Session Name","Session#","Mem Usage"
"python.exe","43224","Console","8","29,860 K"
"smartscreen.exe","12160","Console","8","25,420 K"
"UCBrowser.exe","38420","Console","8","106,940 K"
"UCBrowser.exe","43892","Console","8","22,292 K"
"SearchProtocolHost.exe","18720","Services","0","9,908 K"
"SearchProtocolHost.exe","29264","Console","8","7,420 K"
"DB Browser for SQLite.exe","44516","Console","8","78,504 K"
"svchost.exe","41824","Services","0","6,728 K"
"msiexec.exe","35256","Services","0","15,240 K"
"pythonw.exe","33580","Console","8","29,700 K"
"SearchFilterHost.exe","10248","Services","0","8,124 K"
"pythonw.exe","40044","Console","8","23,880 K"
"cmd.exe","34596","Console","8","3,408 K"
"conhost.exe","4756","Console","8","14,112 K"
"tasklist.exe","14964","Console","8","7,716 K"
"WmiPrvSE.exe","45468","Services","0","8,776 K"
